stopid,name,avMinDelay,avFreqDelay,route
118,Washington St @ Worcester St,1.42,0.27,sl5
119,Washington St @ Massachusetts Ave,1.31,0.25,sl5
120,Washington St @ Lenox St,1.3,0.26,sl5
121,Washington St @ Melnea Cass Blvd,0.96,0.34,sl5
122,Dudley Square,0.16,0.03,sl5
123,Dudley Square,0.16,0.03,sl5
124,Washington St @ Melnea Cass Blvd - Silver Line,1.27,0.37,sl5
125,Washington St @ Lenox St,1.3,0.26,sl5
126,Washington St @ Massachusetts Ave,1.31,0.25,sl5
127,Washington St @ Worcester St,1.42,0.27,sl5
128,Washington St @ E Newton St,1,0.27,sl5
129,Washington St @ Union Pk,1.35,0.27,sl5
130,Washington St @ E Berkeley St,1.29,0.23,sl5
131,Washington St @ Herald St,1.64,0.32,sl5
132,Washington St @ Tufts Med Ctr,1.72,0.28,sl5
133,Washington St @ Essex St,0.54,0.13,sl5
