"data_attributes_time","data_attributes_direction_id","data_attributes_stop_sequence","data_attributes_schedule_id","data_attributes_route_id","data_attributes_stop_id","data_attributes_trip_id"
"2019-11-18T12:48:00-05:00",0,1,"schedule-41893177-10000-1",43,10000,41893177
"2019-11-18T12:49:00-05:00",0,2,"schedule-41893177-8279-2",43,8279,41893177
"2019-11-18T12:50:00-05:00",0,3,"schedule-41893177-8281-3",43,8281,41893177
"2019-11-18T12:51:00-05:00",0,4,"schedule-41893177-1242-4",43,1242,41893177
"2019-11-18T12:53:00-05:00",0,5,"schedule-41893177-168-5",43,168,41893177
"2019-11-18T12:54:00-05:00",0,6,"schedule-41893177-11245-6",43,11245,41893177
"2019-11-18T12:55:00-05:00",0,7,"schedule-41893177-1246-7",43,1246,41893177
"2019-11-18T12:56:00-05:00",0,8,"schedule-41893177-1247-8",43,1247,41893177
"2019-11-18T12:57:00-05:00",0,9,"schedule-41893177-1248-9",43,1248,41893177
"2019-11-18T12:58:00-05:00",0,10,"schedule-41893177-1249-10",43,1249,41893177
"2019-11-18T12:59:00-05:00",0,11,"schedule-41893177-1250-11",43,1250,41893177
"2019-11-18T12:59:00-05:00",0,12,"schedule-41893177-1251-12",43,1251,41893177
"2019-11-18T13:00:00-05:00",0,13,"schedule-41893177-1252-13",43,1252,41893177
"2019-11-18T13:01:00-05:00",0,14,"schedule-41893177-1253-14",43,1253,41893177
"2019-11-18T13:02:00-05:00",0,15,"schedule-41893177-1254-15",43,1254,41893177
"2019-11-18T13:03:00-05:00",0,16,"schedule-41893177-1255-16",43,1255,41893177
"2019-11-18T13:04:00-05:00",0,17,"schedule-41893177-17863-17",43,17863,41893177
"2019-11-18T16:51:00-05:00",0,1,"schedule-41893178-10000-1",43,10000,41893178
"2019-11-18T16:52:00-05:00",0,2,"schedule-41893178-8279-2",43,8279,41893178
"2019-11-18T16:54:00-05:00",0,3,"schedule-41893178-8281-3",43,8281,41893178
"2019-11-18T16:55:00-05:00",0,4,"schedule-41893178-1242-4",43,1242,41893178
"2019-11-18T16:57:00-05:00",0,5,"schedule-41893178-168-5",43,168,41893178
"2019-11-18T16:58:00-05:00",0,6,"schedule-41893178-11245-6",43,11245,41893178
"2019-11-18T16:59:00-05:00",0,7,"schedule-41893178-1246-7",43,1246,41893178
"2019-11-18T17:00:00-05:00",0,8,"schedule-41893178-1247-8",43,1247,41893178
"2019-11-18T17:01:00-05:00",0,9,"schedule-41893178-1248-9",43,1248,41893178
"2019-11-18T17:02:00-05:00",0,10,"schedule-41893178-1249-10",43,1249,41893178
"2019-11-18T17:03:00-05:00",0,11,"schedule-41893178-1250-11",43,1250,41893178
"2019-11-18T17:04:00-05:00",0,12,"schedule-41893178-1251-12",43,1251,41893178
"2019-11-18T17:05:00-05:00",0,13,"schedule-41893178-1252-13",43,1252,41893178
"2019-11-18T17:06:00-05:00",0,14,"schedule-41893178-1253-14",43,1253,41893178
"2019-11-18T17:07:00-05:00",0,15,"schedule-41893178-1254-15",43,1254,41893178
"2019-11-18T17:08:00-05:00",0,16,"schedule-41893178-1255-16",43,1255,41893178
"2019-11-18T17:10:00-05:00",0,17,"schedule-41893178-17863-17",43,17863,41893178
"2019-11-18T07:21:00-05:00",1,1,"schedule-41893179-17863-1",43,17863,41893179
"2019-11-18T07:22:00-05:00",1,2,"schedule-41893179-1226-2",43,1226,41893179
"2019-11-18T07:23:00-05:00",1,3,"schedule-41893179-1227-3",43,1227,41893179
"2019-11-18T07:24:00-05:00",1,4,"schedule-41893179-1228-4",43,1228,41893179
"2019-11-18T07:24:00-05:00",1,5,"schedule-41893179-11228-5",43,11228,41893179
"2019-11-18T07:25:00-05:00",1,6,"schedule-41893179-1230-6",43,1230,41893179
"2019-11-18T07:25:00-05:00",1,7,"schedule-41893179-1231-7",43,1231,41893179
"2019-11-18T07:26:00-05:00",1,8,"schedule-41893179-1232-8",43,1232,41893179
"2019-11-18T07:26:00-05:00",1,9,"schedule-41893179-1233-9",43,1233,41893179
"2019-11-18T07:26:00-05:00",1,10,"schedule-41893179-1234-10",43,1234,41893179
"2019-11-18T07:27:00-05:00",1,11,"schedule-41893179-1235-11",43,1235,41893179
"2019-11-18T07:28:00-05:00",1,12,"schedule-41893179-1236-12",43,1236,41893179
"2019-11-18T07:29:00-05:00",1,13,"schedule-41893179-1237-13",43,1237,41893179
"2019-11-18T07:30:00-05:00",1,14,"schedule-41893179-1238-14",43,1238,41893179
"2019-11-18T07:31:00-05:00",1,15,"schedule-41893179-1239-15",43,1239,41893179
"2019-11-18T07:33:00-05:00",1,16,"schedule-41893179-1241-16",43,1241,41893179
"2019-11-18T07:36:00-05:00",1,17,"schedule-41893179-9980-17",43,9980,41893179
"2019-11-18T07:38:00-05:00",1,18,"schedule-41893179-9981-18",43,9981,41893179
"2019-11-18T07:39:00-05:00",1,19,"schedule-41893179-9982-19",43,9982,41893179
"2019-11-18T07:41:00-05:00",1,20,"schedule-41893179-10000-20",43,10000,41893179
"2019-11-18T06:41:00-05:00",0,1,"schedule-41893180-10000-1",43,10000,41893180
"2019-11-18T06:41:00-05:00",0,2,"schedule-41893180-8279-2",43,8279,41893180
"2019-11-18T06:42:00-05:00",0,3,"schedule-41893180-8281-3",43,8281,41893180
"2019-11-18T06:43:00-05:00",0,4,"schedule-41893180-1242-4",43,1242,41893180
"2019-11-18T06:43:00-05:00",0,5,"schedule-41893180-168-5",43,168,41893180
"2019-11-18T06:44:00-05:00",0,6,"schedule-41893180-11245-6",43,11245,41893180
"2019-11-18T06:45:00-05:00",0,7,"schedule-41893180-1246-7",43,1246,41893180
"2019-11-18T06:45:00-05:00",0,8,"schedule-41893180-1247-8",43,1247,41893180
"2019-11-18T06:46:00-05:00",0,9,"schedule-41893180-1248-9",43,1248,41893180
"2019-11-18T06:46:00-05:00",0,10,"schedule-41893180-1249-10",43,1249,41893180
"2019-11-18T06:47:00-05:00",0,11,"schedule-41893180-1250-11",43,1250,41893180
"2019-11-18T06:47:00-05:00",0,12,"schedule-41893180-1251-12",43,1251,41893180
