Stop,Delays
Temple Pl @ Washington St,0
Tremont St @ Boylston Station,0
Washington St @ Tufts Med Ctr,2
Washington St @ Herald St,1
Washington St @ E Berkeley St,0
Washington St @ Union Pk,0
Washington St @ W Newtin St,0
Washington St @ Worcester St,0
Washington St @ Massachusetts Ave,1
Washington St @ Lenox St,2
Washington St @ Melnea Cass Blvd,1
Dudley Square,0
