Stop,Delays
Essex St @ Atlantic Ave,0
Washington St @ Tufts Med Ctr,0
Washington St @ Herald St,2
Washington St @ E Berkeley St,2
Washington Dt @ Union Pk,0
Washington St # W Newton St,0
Washington St @ Worcester St,0
Washington St @ Massachusetts Ave,0
Washington St @ Lenox St,0
Washington St @ Melnea Cass Blvd,1
Dudley Square,0
