stopid,mbtaid,data_attributes_name,data_attributes_latitude,data_attributes_longitude,route1,route43,sl4,sl5,outbound,avMinDelay,avFreqDelay
64,1251,Tremont St @ W Springfield St,42.339703,-71.079768,0,1,0,0,1,2.11,0.58
65,1252,Tremont St @ Northampton St,42.338955,-71.081129,0,1,0,0,1,2.05,0.47
66,1253,Tremont St @ Douglas Pk,42.337824,-71.083178,0,1,0,0,1,2.00,0.50
67,1254,Tremont St @ Burke St,42.336908,-71.0848,0,1,0,0,1,1.95,0.50
68,1255,Tremont St @ Columbus Ave,42.335779,-71.086948,0,1,0,0,1,1.65,0.45
69,2000,Ruggles,42.336377,-71.088961,0,1,0,0,1,0.00,0.00
70,2000,Ruggles,42.336377,-71.088961,0,1,0,0,0,0.00,0.00
71,1226,Tremont St @ Ruggles St,42.334793,-71.088549,0,1,0,0,0,1.63,0.81
72,1227,Tremont St @ Melnea Cass Blvd,42.335698,-71.086826,0,1,0,0,0,0.94,0.50
73,1228,Tremont St @ Hammond St,42.337226,-71.084022,0,1,0,0,0,0.94,0.41
74,11228,Tremont St @ Lenox St,42.337782,-71.083038,0,1,0,0,0,1.06,0.59
75,1252,Tremont St @ Northampton St,42.338746,-71.081156,0,1,0,0,0,2.05,0.47
76,1251,Tremont St @ W Springfield St,42.339584,-71.079623,0,1,0,0,0,2.11,0.58
77,1232,Tremont St @ W Concord St,42.340407,-71.078156,0,1,0,0,0,1.22,0.50
78,1233,Tremont St @ W Newton St,42.341236,-71.076653,0,1,0,0,0,1.56,0.67
79,1234,Tremont St @ W Brookline St,42.341887,-71.075413,0,1,0,0,0,1.83,0.72
80,1235,Tremont St @ W Dedham St,42.342666,-71.073943,0,1,0,0,0,1.61,0.56
81,1236,Tremont St @ Waltham St,42.343873,-71.071653,0,1,0,0,0,1.50,0.56
82,1237,Tremont St @ E Berkeley St,42.345145,-71.069868,0,1,0,0,0,1.44,0.61
83,1238,Tremont St @ Herald St,42.347363,-71.068607,0,1,0,0,0,1.50,0.67
84,1239,Tremont St @ Marginal St,42.34818,-71.067595,0,1,0,0,0,1.56,0.56
85,1241,Charles St S @ Park Plaza,42.351748,-71.067101,0,1,0,0,0,1.47,0.47
86,9980,Charles St @ Beacon St,42.356083,-71.06926,0,1,0,0,0,0.58,0.26
87,9981,Beacon St opp Walnut St,42.356954,-71.065766,0,1,0,0,0,0.32,0.16
88,9982,Beacon St @ Park St,42.357656,-71.06328,0,1,0,0,0,0.26,0.11
89,6538,Essex St @ Atlantic Ave,42.35176,-71.056003,0,0,1,0,1,0.10,0.03
90,49002,Washington St @ Tufts Med Ctr,42.349908,-71.063684,0,0,1,0,1,1.72,0.28
91,49003,Washington St @ Herald St,42.346457,-71.064695,0,0,1,0,1,1.64,0.32
92,5098,Washington St @ E Berkeley St,42.343809,-71.066075,0,0,1,0,1,1.29,0.23
93,5100,Washington St @ Union Pk,42.340497,-71.071317,0,0,1,0,1,1.35,0.27
94,19402,Washington St @ W Newton St,42.338788,-71.073825,0,0,1,0,1,1.35,0.27
95,15176,Washington St @ Worcester St,42.337353,-71.075909,0,0,1,0,1,1.42,0.27
96,55,Washington St @ Massachusetts Ave,42.336361,-71.077214,0,0,1,0,1,1.31,0.25
97,60,Washington St @ Lenox St,42.334963,-71.078951,0,0,1,0,1,1.30,0.26
98,2,Washington St @ Melnea Cass Blvd,42.332781,-71.081246,0,0,1,0,1,0.96,0.34
99,64,Dudley Square,42.329544,-71.083982,0,0,1,0,1,0.16,0.03
100,64,Dudley Square,42.329544,-71.083982,0,0,1,0,0,0.16,0.03
101,3,Washington St @ Melnea Cass Blvd - Silver Line,42.333021,-71.080799,0,0,1,0,0,1.27,0.37
102,60,Washington St @ Lenox St,42.334949,-71.078873,0,0,1,0,0,1.30,0.26
103,55,Washington St @ Massachusetts Ave,42.336339,-71.07707,0,0,1,0,0,1.31,0.25
104,15176,Washington St @ Worcester St,42.337524,-71.075479,0,0,1,0,0,1.42,0.27
105,1788,Washington St @ E Newton St,42.338763,-71.073677,0,0,1,0,0,1.00,0.27
106,5100,Washington St @ Union Pk,42.341308,-71.069417,0,0,1,0,0,1.35,0.27
107,5098,Washington St @ E Berkeley St,42.343824,-71.065927,0,0,1,0,0,1.29,0.23
108,49003,Washington St @ Herald St,42.345582,-71.064848,0,0,1,0,0,1.64,0.32
109,49002,Washington St @ Tufts Med Ctr,42.34997,-71.063413,0,0,1,0,0,1.72,0.28
110,6537,Washington St @ Essex St,42.352288,-71.062581,0,0,1,0,0,0.54,0.13
111,49001,Temple Pl @ Washington St,42.355385,-71.062211,0,0,0,1,1,0.79,0.10
112,8279,Tremont St @ Boylston Station,42.353247,-71.064353,0,0,0,1,1,1.69,0.32
113,49002,Washington St @ Tufts Med Ctr,42.349908,-71.063684,0,0,0,1,1,1.72,0.28
114,49003,Washington St @ Herald St,42.346457,-71.064695,0,0,0,1,1,1.64,0.32
115,5098,Washington St @ E Berkeley St,42.343809,-71.066075,0,0,0,1,1,1.29,0.23
116,5100,Washington St @ Union Pk,42.340497,-71.071317,0,0,0,1,1,1.35,0.27
117,19402,Washington St @ W Newton St,42.338788,-71.073825,0,0,0,1,1,1.35,0.27
118,15176,Washington St @ Worcester St,42.337353,-71.075909,0,0,0,1,1,1.42,0.27
119,55,Washington St @ Massachusetts Ave,42.336361,-71.077214,0,0,0,1,1,1.31,0.25
120,60,Washington St @ Lenox St,42.334963,-71.078951,0,0,0,1,1,1.30,0.26
121,2,Washington St @ Melnea Cass Blvd,42.332781,-71.081246,0,0,0,1,1,0.96,0.34
122,64,Dudley Square,42.329544,-71.083982,0,0,0,1,1,0.16,0.03
123,64,Dudley Square,42.329544,-71.083982,0,0,0,1,0,0.16,0.03
124,3,Washington St @ Melnea Cass Blvd - Silver Line,42.333021,-71.080799,0,0,0,1,0,1.27,0.37
125,60,Washington St @ Lenox St,42.334949,-71.078873,0,0,0,1,0,1.30,0.26
126,55,Washington St @ Massachusetts Ave,42.336339,-71.07707,0,0,0,1,0,1.31,0.25
127,15176,Washington St @ Worcester St,42.337524,-71.075479,0,0,0,1,0,1.42,0.27
128,1788,Washington St @ E Newton St,42.338763,-71.073677,0,0,0,1,0,1.00,0.27
129,5100,Washington St @ Union Pk,42.341308,-71.069417,0,0,0,1,0,1.35,0.27
130,5098,Washington St @ E Berkeley St,42.343824,-71.065927,0,0,0,1,0,1.29,0.23
131,49003,Washington St @ Herald St,42.345582,-71.064848,0,0,0,1,0,1.64,0.32
132,49002,Washington St @ Tufts Med Ctr,42.34997,-71.063413,0,0,0,1,0,1.72,0.28
133,6537,Washington St @ Essex St,42.352461,-71.062552,0,0,0,1,0,0.54,0.13
